ID,Colour 1,Colour 2,Colour 3,Episode,Frame
coping_palette_80,blue,green,purple,Coping,80
coping_palette_81,yellow,green,green,Coping,81
coping_palette_82,grey,black,blue,Coping,82
coping_palette_83,grey,blue,blue,Coping,83
coping_palette_84,pink,blue,red,Coping,84
coping_palette_85,pink,green,grey,Coping,85
coping_palette_86,blue,blue,green,Coping,86
coping_palette_87,blue,blue,blue,Coping,87
coping_palette_88,green,green,yellow,Coping,88
coping_palette_89,brown,grey,brown,Coping,89
coping_palette_90,brown,brown,grey,Coping,90
coping_palette_91,brown,grey,brown,Coping,91
coping_palette_92,brown,grey,black,Coping,92
coping_palette_93,brown,brown,brown,Coping,93
coping_palette_94,brown,brown,brown,Coping,94
coping_palette_95,brown,brown,brown,Coping,95
coping_palette_96,black,blue,blue,Coping,96
coping_palette_97,brown,grey,grey,Coping,97
coping_palette_98,brown,white,brown,Coping,98
coping_palette_99,grey,brown,brown,Coping,99
coping_palette_100,brown,grey,black,Coping,100
coping_palette_101,grey,brown,black,Coping,101
coping_palette_102,green,blue,green,Coping,102
coping_palette_103,green,blue,black,Coping,103
coping_palette_104,green,brown,white,Coping,104
coping_palette_105,black,white,green,Coping,105
coping_palette_106,brown,brown,white,Coping,106
coping_palette_107,green,green,grey,Coping,107
coping_palette_108,green,white,green,Coping,108
coping_palette_109,black,green,brown,Coping,109
coping_palette_110,green,grey,brown,Coping,110
coping_palette_111,white,black,grey,Coping,111
coping_palette_112,white,black,grey,Coping,112
coping_palette_113,grey,grey,black,Coping,113
coping_palette_114,grey,grey,black,Coping,114
coping_palette_115,grey,grey,black,Coping,115
coping_palette_116,grey,grey,grey,Coping,116
coping_palette_117,grey,grey,black,Coping,117
coping_palette_118,grey,grey,black,Coping,118
coping_palette_119,grey,grey,black,Coping,119
coping_palette_120,black,grey,grey,Coping,120
coping_palette_121,grey,grey,grey,Coping,121
coping_palette_122,grey,grey,grey,Coping,122
coping_palette_123,grey,grey,grey,Coping,123
coping_palette_124,grey,grey,grey,Coping,124
coping_palette_125,grey,grey,black,Coping,125
coping_palette_126,blue,black,black,Coping,126
coping_palette_127,grey,black,grey,Coping,127
coping_palette_128,grey,black,grey,Coping,128
coping_palette_129,black,grey,grey,Coping,129
coping_palette_130,grey,black,grey,Coping,130
coping_palette_131,grey,black,grey,Coping,131
coping_palette_132,grey,black,grey,Coping,132
coping_palette_133,black,grey,grey,Coping,133
coping_palette_134,black,grey,grey,Coping,134
coping_palette_135,black,grey,grey,Coping,135
coping_palette_136,brown,grey,grey,Coping,136
coping_palette_137,green,green,grey,Coping,137
death_palette_0,black,black,black,Death,0
death_palette_1,grey,red,brown,Death,1
death_palette_2,grey,brown,grey,Death,2
death_palette_3,grey,white,grey,Death,3
death_palette_4,black,grey,brown,Death,4
death_palette_5,grey,grey,beige,Death,5
death_palette_6,orange,black,brown,Death,6
death_palette_7,grey,grey,pink,Death,7
death_palette_8,grey,pink,grey,Death,8
death_palette_9,brown,beige,grey,Death,9
death_palette_10,black,beige,grey,Death,10
death_palette_11,black,white,grey,Death,11
death_palette_12,black,white,grey,Death,12
death_palette_13,black,grey,black,Death,13
death_palette_14,black,white,grey,Death,14
death_palette_15,black,grey,black,Death,15
death_palette_16,black,grey,black,Death,16
death_palette_17,white,black,grey,Death,17
death_palette_18,yellow,white,green,Death,18
death_palette_19,green,blue,green,Death,19
death_palette_20,blue,white,green,Death,20
death_palette_21,blue,white,blue,Death,21
death_palette_22,pink,white,pink,Death,22
death_palette_23,black,grey,grey,Death,23
death_palette_24,grey,grey,grey,Death,24
death_palette_25,brown,beige,pink,Death,25
death_palette_26,beige,green,pink,Death,26
death_palette_27,pink,beige,brown,Death,27
death_palette_28,brown,beige,black,Death,28
death_palette_29,black,beige,red,Death,29
death_palette_30,black,purple,yellow,Death,30
death_palette_31,black,green,red,Death,31
death_palette_32,red,black,white,Death,32
death_palette_33,black,red,purple,Death,33
death_palette_34,purple,red,black,Death,34
death_palette_35,blue,red,black,Death,35
death_palette_36,purple,black,yellow,Death,36
death_palette_37,blue,black,purple,Death,37
death_palette_38,black,orange,blue,Death,38
death_palette_39,black,blue,green,Death,39
death_palette_40,black,beige,maroon,Death,40
death_palette_41,red,white,black,Death,41
death_palette_42,red,black,white,Death,42
death_palette_43,black,red,grey,Death,43
death_palette_44,black,red,lilac,Death,44
death_palette_45,red,black,yellow,Death,45
death_palette_46,yellow,black,green,Death,46
death_palette_47,black,white,grey,Death,47
death_palette_48,black,red,yellow,Death,48
death_palette_49,black,black,black,Death,49
death_palette_50,brown,red,brown,Death,50
death_palette_51,grey,brown,grey,Death,51
death_palette_52,grey,brown,grey,Death,52
death_palette_53,blue,brown,grey,Death,53
death_palette_54,grey,brown,beige,Death,54
death_palette_55,grey,grey,brown,Death,55
death_palette_56,grey,grey,brown,Death,56
death_palette_57,grey,green,black,Death,57
death_palette_58,black,blue,brown,Death,58
death_palette_59,black,green,brown,Death,59
death_palette_60,black,maroon,red,Death,60
death_palette_61,black,pink,red,Death,61
death_palette_62,black,beige,brown,Death,62
death_palette_63,black,yellow,grey,Death,63
death_palette_64,black,grey,grey,Death,64
death_palette_65,black,pink,brown,Death,65
death_palette_66,black,green,green,Death,66
death_palette_67,pink,black,grey,Death,67
death_palette_68,black,beige,grey,Death,68
death_palette_69,black,blue,brown,Death,69
death_palette_70,grey,green,blue,Death,70
death_palette_71,black,green,grey,Death,71
death_palette_72,grey,grey,blue,Death,72
death_palette_73,grey,beige,grey,Death,73
death_palette_74,grey,pink,grey,Death,74
death_palette_75,grey,beige,orange,Death,75
death_palette_76,black,black,black,Death,76
death_palette_77,grey,grey,brown,Death,77
death_palette_78,grey,orange,beige,Death,78
